metric,bin,opr,a_hex,b_hex,result_hex,carry,zero
opr_a_cross,sub/mid,1,000003E8,00000000,00000000000003E8,0,0
opr_a_cross,sub/one,1,00000001,00000000,0000000000000001,0,0
opr_a_cross,sub/other_values,1,00000065,00000000,0000000000000065,0,0
opr_a_cross,sub/zero,1,00000000,00000000,0000000000000000,0,1
opr_b_cross,add/alternating_01,0,00000000,55555555,0000000055555555,0,0
opr_b_cross,add/alternating_10,0,00000000,AAAAAAAA,00000000AAAAAAAA,0,0
opr_b_cross,add/high,0,00000000,FFFFFFFE,00000000FFFFFFFE,0,0
opr_b_cross,add/low,0,00000000,00000002,0000000000000002,0,0
opr_b_cross,add/max_unsigned,0,00000000,FFFFFFFF,00000000FFFFFFFF,0,0
opr_b_cross,add/mid,0,00000000,000003E8,00000000000003E8,0,0
opr_b_cross,add/one,0,00000000,00000001,0000000000000001,0,0
opr_b_cross,add/other_values,0,00000000,00000065,0000000000000065,0,0
opr_b_cross,add/zero,0,00000000,00000000,0000000000000000,0,1
opr_b_cross,and_op/alternating_01,4,00000000,55555555,0000000000000000,0,1
opr_b_cross,and_op/alternating_10,4,00000000,AAAAAAAA,0000000000000000,0,1
opr_b_cross,and_op/high,4,00000000,FFFFFFFE,0000000000000000,0,1
opr_b_cross,and_op/low,4,00000000,00000002,0000000000000000,0,1
opr_b_cross,and_op/max_unsigned,4,00000000,FFFFFFFF,0000000000000000,0,1
opr_b_cross,and_op/mid,4,00000000,000003E8,0000000000000000,0,1
opr_b_cross,and_op/one,4,00000000,00000001,0000000000000000,0,1
opr_b_cross,and_op/other_values,4,00000000,00000065,0000000000000000,0,1
opr_b_cross,and_op/zero,4,00000000,00000000,0000000000000000,0,1
opr_b_cross,div/alternating_01,3,00000000,55555555,0000000000000000,0,1
opr_b_cross,div/alternating_10,3,00000000,AAAAAAAA,0000000000000000,0,1
opr_b_cross,div/high,3,00000000,FFFFFFFE,0000000000000000,0,1
opr_b_cross,div/low,3,00000000,00000002,0000000000000000,0,1
opr_b_cross,div/max_unsigned,3,00000000,FFFFFFFF,0000000000000000,0,1
opr_b_cross,div/mid,3,00000000,000003E8,0000000000000000,0,1
opr_b_cross,div/one,3,00000000,00000001,0000000000000000,0,1
opr_b_cross,div/other_values,3,00000000,00000065,0000000000000000,0,1
opr_b_cross,div/zero,3,00000000,00000000,0000000000000000,1,1
opr_b_cross,mul/alternating_01,2,00000000,55555555,0000000000000000,0,1
opr_b_cross,mul/alternating_10,2,00000000,AAAAAAAA,0000000000000000,0,1
opr_b_cross,mul/high,2,00000000,FFFFFFFE,0000000000000000,0,1
opr_b_cross,mul/low,2,00000000,00000002,0000000000000000,0,1
opr_b_cross,mul/max_unsigned,2,00000000,FFFFFFFF,0000000000000000,0,1
opr_b_cross,mul/mid,2,00000000,000003E8,0000000000000000,0,1
opr_b_cross,mul/one,2,00000000,00000001,0000000000000000,0,1
opr_b_cross,mul/other_values,2,00000000,00000065,0000000000000000,0,1
opr_b_cross,mul/zero,2,00000000,00000000,0000000000000000,0,1
opr_b_cross,or_op/alternating_01,5,00000000,55555555,0000000055555555,0,0
opr_b_cross,or_op/alternating_10,5,00000000,AAAAAAAA,00000000AAAAAAAA,0,0
opr_b_cross,or_op/high,5,00000000,FFFFFFFE,00000000FFFFFFFE,0,0
opr_b_cross,or_op/low,5,00000000,00000002,0000000000000002,0,0
opr_b_cross,or_op/max_unsigned,5,00000000,FFFFFFFF,00000000FFFFFFFF,0,0
opr_b_cross,or_op/mid,5,00000000,000003E8,00000000000003E8,0,0
opr_b_cross,or_op/one,5,00000000,00000001,0000000000000001,0,0
opr_b_cross,or_op/other_values,5,00000000,00000065,0000000000000065,0,0
opr_b_cross,or_op/zero,5,00000000,00000000,0000000000000000,0,1
opr_b_cross,sub/alternating_01,1,00000000,55555555,FFFFFFFFAAAAAAAB,1,0
opr_b_cross,sub/alternating_10,1,00000000,AAAAAAAA,FFFFFFFF55555556,1,0
opr_b_cross,sub/high,1,00000000,FFFFFFFE,FFFFFFFF00000002,1,0
opr_b_cross,sub/low,1,00000000,00000002,FFFFFFFFFFFFFFFE,1,0
opr_b_cross,sub/max_unsigned,1,00000000,FFFFFFFF,FFFFFFFF00000001,1,0
opr_b_cross,sub/mid,1,00000000,000003E8,FFFFFFFFFFFFFC18,1,0
opr_b_cross,sub/one,1,00000000,00000001,FFFFFFFFFFFFFFFF,1,0
opr_b_cross,sub/other_values,1,00000000,00000065,FFFFFFFFFFFFFF9B,1,0
opr_b_cross,sub/zero,1,00000000,00000000,0000000000000000,0,1
logical_pattern_cross,and_op/complementary_01_10,4,55555555,AAAAAAAA,0000000000000000,0,1
logical_pattern_cross,and_op/complementary_10_01,4,AAAAAAAA,55555555,0000000000000000,0,1
logical_pattern_cross,and_op/equal_01,4,55555555,55555555,0000000055555555,0,0
logical_pattern_cross,and_op/equal_10,4,AAAAAAAA,AAAAAAAA,00000000AAAAAAAA,0,0
logical_pattern_cross,or_op/complementary_01_10,5,55555555,AAAAAAAA,00000000FFFFFFFF,0,0
logical_pattern_cross,or_op/complementary_10_01,5,AAAAAAAA,55555555,00000000FFFFFFFF,0,0
logical_pattern_cross,or_op/equal_01,5,55555555,55555555,0000000055555555,0,0
logical_pattern_cross,or_op/equal_10,5,AAAAAAAA,AAAAAAAA,00000000AAAAAAAA,0,0
opr_carry_cross,add/carry,0,00000001,FFFFFFFF,0000000100000000,1,0
opr_carry_cross,add/no_carry,0,00000000,00000000,0000000000000000,0,1
opr_carry_cross,and_op/no_carry,4,00000000,00000000,0000000000000000,0,1
opr_carry_cross,div/carry,3,00000000,00000000,0000000000000000,1,1
opr_carry_cross,div/no_carry,3,00000000,00000001,0000000000000000,0,1
opr_carry_cross,mul/carry,2,FFFFFFFF,FFFFFFFF,FFFFFFFE00000001,1,0
opr_carry_cross,mul/no_carry,2,00000000,00000000,0000000000000000,0,1
opr_carry_cross,not_op/no_carry,6,00000000,00000000,00000000FFFFFFFF,0,0
opr_carry_cross,or_op/no_carry,5,00000000,00000000,0000000000000000,0,1
opr_carry_cross,sub/carry,1,00000000,00000001,FFFFFFFFFFFFFFFF,1,0
opr_carry_cross,sub/no_carry,1,00000000,00000000,0000000000000000,0,1
opr_zero_cross,add/is_zero,0,00000000,00000000,0000000000000000,0,1
opr_zero_cross,add/not_zero,0,00000000,00000001,0000000000000001,0,0
opr_zero_cross,and_op/is_zero,4,00000000,00000000,0000000000000000,0,1
opr_zero_cross,and_op/not_zero,4,00000001,00000001,0000000000000001,0,0
opr_zero_cross,div/is_zero,3,00000000,00000000,0000000000000000,1,1
opr_zero_cross,div/not_zero,3,00000001,00000001,0000000000000001,0,0
opr_zero_cross,mul/is_zero,2,00000000,00000000,0000000000000000,0,1
opr_zero_cross,mul/not_zero,2,00000001,00000001,0000000000000001,0,0
opr_zero_cross,not_op/is_zero,6,FFFFFFFF,00000000,0000000000000000,0,1
opr_zero_cross,not_op/not_zero,6,00000000,00000000,00000000FFFFFFFF,0,0
opr_zero_cross,or_op/is_zero,5,00000000,00000000,0000000000000000,0,1
opr_zero_cross,or_op/not_zero,5,00000000,00000001,0000000000000001,0,0
opr_zero_cross,sub/is_zero,1,00000000,00000000,0000000000000000,0,1
opr_zero_cross,sub/not_zero,1,00000000,00000001,FFFFFFFFFFFFFFFF,1,0
